time            x            y            
 1581684305.000   556604.053  5932619.966 
 1581684306.000   556604.383  5932620.081 
 1581684307.000   556604.713  5932620.197 
 1581684308.000   556605.043  5932620.312 
 1581684309.000   556605.306  5932620.426 
 1581684310.000   556605.570  5932620.541 
 1581684311.000   556605.899  5932620.767 
 1581684312.000   556606.096  5932620.881 
 1581684313.000   556606.094  5932621.103 
 1581684314.000   556606.160  5932621.104 
 1581684315.000   556606.160  5932621.104 
 1581684316.000   556606.158  5932621.215 
 1581684317.000   556606.160  5932621.104 
 1581684318.000   556606.226  5932621.105 
 1581684319.000   556606.361  5932620.884 
 1581684320.000   556606.563  5932620.664 
 1581684321.000   556606.832  5932620.333 
 1581684322.000   556607.036  5932619.891 
 1581684323.000   556607.240  5932619.448 
 1581684324.000   556607.443  5932619.117 
 1581684325.000   556607.778  5932618.787 
 1581684326.000   556608.047  5932618.456 
 1581684327.000   556608.316  5932618.126 
 1581684328.000   556608.585  5932617.795 
 1581684329.000   556608.853  5932617.576 
 1581684330.000   556609.122  5932617.245 
 1581684331.000   556609.391  5932616.915 
 1581684332.000   556609.592  5932616.806 
 1581684333.000   556609.656  5932616.918 
 1581684334.000   556609.788  5932617.031 
 1581684335.000   556609.919  5932617.144 
 1581684336.000   556609.985  5932617.144 
 1581684337.000   556610.116  5932617.257 
 1581684338.000   556610.183  5932617.258 
 1581684339.000   556610.248  5932617.370 
 1581684340.000   556610.380  5932617.372 
 1581684341.000   556610.379  5932617.483 
 1581684342.000   556610.379  5932617.483 
 1581684343.000   556610.514  5932617.262 
 1581684344.000   556610.782  5932617.043 
 1581684345.000   556610.986  5932616.600 
 1581684346.000   556611.121  5932616.379 
 1581684347.000   556611.189  5932616.269 
 1581684348.000   556611.256  5932616.158 
 1581684349.000   556611.256  5932616.158 
 1581684350.000   556611.122  5932616.268 
 1581684351.000   556610.794  5932616.041 
 1581684352.000   556610.399  5932615.814 
 1581684353.000   556610.004  5932615.587 
 1581684354.000   556609.544  5932615.248 
 1581684355.000   556609.215  5932615.021 
 1581684356.000   556608.953  5932614.795 
 1581684357.000   556608.624  5932614.569 
 1581684358.000   556608.363  5932614.232 
 1581684359.000   556608.101  5932614.006 
 1581684360.000   556607.838  5932613.781 
 1581684361.000   556607.510  5932613.554 
 1581684362.000   556607.247  5932613.329 
 1581684363.000   556606.985  5932613.103 
 1581684364.000   556606.590  5932612.876 
 1581684365.000   556606.129  5932612.648 
 1581684366.000   556605.866  5932612.422 
 1581684367.000   556605.735  5932612.309 
 1581684368.000   556605.669  5932612.308 
 1581684369.000   556605.602  5932612.307 
 1581684370.000   556605.602  5932612.307 
 1581684371.000   556605.609  5932611.751 
 1581684372.000   556605.345  5932611.637 
 1581684373.000   556605.017  5932611.410 
 1581684374.000   556604.622  5932611.183 
 1581684375.000   556604.293  5932610.957 
 1581684376.000   556603.898  5932610.729 
 1581684377.000   556603.503  5932610.502 
 1581684378.000   556603.108  5932610.275 
 1581684379.000   556602.781  5932609.937 
 1581684380.000   556602.386  5932609.710 
 1581684381.000   556602.057  5932609.483 
 1581684382.000   556601.729  5932609.257 
 1581684383.000   556601.400  5932609.030 
 1581684384.000   556601.139  5932608.693 
 1581684385.000   556600.744  5932608.466 
 1581684386.000   556600.415  5932608.240 
 1581684387.000   556600.088  5932607.902 
 1581684388.000   556599.759  5932607.676 
 1581684389.000   556599.431  5932607.449 
 1581684390.000   556599.102  5932607.223 
 1581684391.000   556598.773  5932606.996 
 1581684392.000   556598.445  5932606.770 
 1581684393.000   556598.117  5932606.432 
 1581684394.000   556597.855  5932606.206 
 1581684395.000   556597.460  5932605.979 
 1581684396.000   556597.131  5932605.753 
 1581684397.000   556596.802  5932605.526 
 1581684398.000   556596.408  5932605.299 
 1581684399.000   556596.079  5932605.072 
 1581684400.000   556595.818  5932604.735 
 1581684401.000   556595.489  5932604.509 
 1581684402.000   556595.160  5932604.282 
 1581684403.000   556594.765  5932604.055 
 1581684404.000   556594.437  5932603.829 
 1581684405.000   556594.107  5932603.713 
 1581684406.000   556593.777  5932603.598 
 1581684407.000   556593.447  5932603.483 
 1581684408.000   556593.183  5932603.369 
 1581684409.000   556592.919  5932603.254 
 1581684410.000   556592.656  5932603.140 
 1581684411.000   556592.326  5932603.025 
 1581684412.000   556592.062  5932602.910 
 1581684413.000   556591.733  5932602.684 
 1581684414.000   556591.403  5932602.568 
 1581684415.000   556591.073  5932602.453 
 1581684416.000   556590.744  5932602.227 
 1581684417.000   556590.414  5932602.112 
 1581684418.000   556590.018  5932601.996 
 1581684419.000   556589.688  5932601.880 
 1581684420.000   556589.358  5932601.765 
 1581684421.000   556589.028  5932601.650 
 1581684422.000   556588.698  5932601.535 
 1581684423.000   556588.303  5932601.307 
 1581684424.000   556587.907  5932601.191 
 1581684425.000   556587.643  5932601.077 
 1581684426.000   556587.446  5932600.963 
 1581684427.000   556587.183  5932600.738 
 1581684428.000   556586.853  5932600.622 
 1581684429.000   556586.457  5932600.506 
 1581684430.000   556586.127  5932600.391 
 1581684431.000   556585.796  5932600.387 
 1581684432.000   556585.532  5932600.273 
 1581684433.000   556585.136  5932600.157 
 1581684434.000   556584.804  5932600.153 
 1581684435.000   556584.539  5932600.150 
 1581684436.000   556584.405  5932600.259 
 1581684437.000   556584.339  5932600.258 
 1581684438.000   556584.140  5932600.256 
 1581684439.000   556583.943  5932600.142 
 1581684440.000   556583.747  5932599.918 
 1581684441.000   556583.417  5932599.802 
 1581684442.000   556583.153  5932599.688 
 1581684443.000   556582.757  5932599.572 
 1581684444.000   556582.427  5932599.457 
 1581684445.000   556582.098  5932599.230 
 1581684446.000   556581.769  5932599.004 
 1581684447.000   556581.505  5932598.889 
 1581684448.000   556581.175  5932598.774 
 1581684449.000   556580.845  5932598.659 
 1581684450.000   556580.515  5932598.544 
 1581684451.000   556580.187  5932598.317 
 1581684452.000   556579.857  5932598.202 
 1581684453.000   556579.593  5932598.088 
 1581684454.000   556579.263  5932597.972 
 1581684455.000   556578.933  5932597.857 
 1581684456.000   556578.671  5932597.631 
 1581684457.000   556578.340  5932597.516 
 1581684458.000   556578.078  5932597.291 
 1581684459.000   556577.748  5932597.175 
 1581684460.000   556577.484  5932597.061 
 1581684461.000   556577.154  5932596.946 
 1581684462.000   556576.891  5932596.831 
 1581684463.000   556576.692  5932596.829 
 1581684464.000   556576.362  5932596.714 
 1581684465.000   556576.098  5932596.599 
 1581684466.000   556575.768  5932596.484 
 1581684467.000   556575.438  5932596.369 
 1581684468.000   556575.042  5932596.253 
 1581684469.000   556574.777  5932596.250 
 1581684470.000   556574.513  5932596.135 
 1581684471.000   556574.249  5932596.021 
 1581684472.000   556573.919  5932595.906 
 1581684473.000   556573.720  5932595.903 
 1581684474.000   556573.522  5932595.901 
 1581684475.000   556573.388  5932596.010 
 1581684476.000   556573.255  5932596.009 
 1581684477.000   556573.255  5932596.009 
 1581684478.000   556573.121  5932596.119 
 1581684479.000   556572.918  5932596.450 
 1581684480.000   556572.782  5932596.782 
 1581684481.000   556572.578  5932597.225 
 1581684482.000   556572.440  5932597.668 
 1581684483.000   556572.236  5932598.111 
 1581684484.000   556572.033  5932598.442 
 1581684485.000   556571.895  5932598.885 
 1581684486.000   556571.759  5932599.218 
 1581684487.000   556571.622  5932599.550 
 1581684488.000   556571.419  5932599.881 
 1581684489.000   556571.283  5932600.213 
 1581684490.000   556571.146  5932600.545 
 1581684491.000   556571.010  5932600.878 
 1581684492.000   556570.873  5932601.210 
 1581684493.000   556570.803  5932601.543 
 1581684494.000   556570.666  5932601.875 
 1581684495.000   556570.530  5932602.207 
 1581684496.000   556570.393  5932602.539 
 1581684497.000   556570.257  5932602.871 
 1581684498.000   556570.121  5932603.092 
 1581684499.000   556570.051  5932603.425 
 1581684500.000   556569.915  5932603.757 
 1581684501.000   556569.778  5932604.089 
